years_practice,school,name,title,graduate_year,specialties,insurance
,,Sonia Carbonell,"PsyD,Psychologist,, ",,"Mood Disorders,Divorce,Child or Adolescent","Aetna,Blue Shield,Cigna,MHNet Behavioral Health,Magellan Behavioral Health,Medicare,TRICARE,TriWest,Out of Network"
10+ Years,San Diego State University,Laura Christofferson,"LCSW,Clinical Social Work/Therapist,RPT,, ",2007,"Child or Adolescent,Parenting,Behavioral Issues","TRICARE,TriWest,Out of Network"
15+ Years,California School of Professional Psychology,Abby Brewer-Johnson,"PsyD,Psychologist,ABPP,, ",2005,"Child or Adolescent,Anxiety,Parenting","Claremont Behavioral Health Services,PPO's only,Victims of Crime,Out of Network"
,Bethel Seminary San Diego,Brianna Lianne Bachman,"Marriage & Family Therapist Intern, ,MFTI",,"Relationship Issues,Women's Issues,Family Conflict",Out of Network
10+ Years,Pacifica Graduate Institute,Bryan McNutt Ph.D. LMFT,"Psychologist,LMFT,, ,PhD",2009,"Grief,Gay,Trauma and PTSD","Anthem,Anthem EAP,Cigna,Out of Network"
10+ Years,Alliant International University,Vangie Akridge,"PsyD,LEP,Educational Psychologist, ,, ",2013,"Learning Disabilities,Emotional Disturbance,Family Conflict",
,,Connie Fox,"MFT,MS,, ,Marriage & Family Therapist",,"Depression,Anxiety,Relationship Issues","Aetna Better Health,Anthem EAP,Behavioral Health Systems,Blue Shield,Cigna,Cigna-EAP,Community Health Group,MHN,Medi-Cal,TriWest,ValueOptions,Wellsprings EAP,Out of Network"
,,Luke Schlimme,"LCSW,Clinical Social Work/Therapist,, ",,"Depression,Anxiety,Relationship Issues","Blue Shield,Can create superbill for reimbursement,Cigna,ComPsych,Health Net,MHN,Medicare,Out of Network"
20+ Years,National University,Douglas Braun-Harvey,"CGP,CST,MFT,, ,Marriage & Family Therapist",1982,"Sex Therapy,Internet Addiction,Sexual Addiction",Out of Network
10+ Years,University of Santa Monica,Masako Stewart,"MA,, ,Marriage & Family Therapist",2001,"Anxiety,Emotional Disturbance,Self Esteem","BlueCross and BlueShield,Cigna,ComPsych,Magellan Behavioral Health,TRICARE,TriWest,UnitedHealthcare"
13 Years,University of Michigan,Diane L. Moore,"MSW,LCSW,Clinical Social Work/Therapist,ACSW,, ",2004,"Child or Adolescent,Behavioral Issues,Depression",Out of Network
20+ Years,Pacifica Graduate Institute,"Barbara B Sadak, PhD","Psychologist,, ,PhD",1998,"Jungian analysis,Anxiety,Relationship Issues",
10 Years,Cal Poly Pomona,David Rosen,"LMFT,MS,, ,Marriage & Family Therapist",2005,"Behavioral Issues,Parenting,Anxiety","ACI Specialty Benefits,APS Healthcare,American Behavioral,Anthem,Behavioral Health Systems,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,ComPsych,Deer Oaks,Health Net,MHNet Behavioral Health,Magellan Behavioral Health,Multiplan,Optum,ValueOptions,Out of Network"
9 Years,Antioch University,Preventative Health for Happy Families!,"LMFT,MA,, ,Marriage & Family Therapist",2005,"Child or Adolescent,Trauma and PTSD,Parenting","Aetna,Choice Program,Health Net,TRICARE,TriWest,Out of Network"
15+ Years,Chapman University,Kelly Ann Riley,"RPT-S,MFT,, ,Marriage & Family Therapist",1997,"Relationship Issues,Parenting,Child or Adolescent","Aetna,Out of Network"
3 Years,Columbia University,Edie Stark,"MS,LCSW,Clinical Social Work/Therapist,Msc, ,, ",,"Eating Disorders,Anxiety,Depression","Aetna,BlueCross and BlueShield,Empire BlueCross,Oxford,UnitedHealthcare,Out of Network"
10+ Years,Phillips Graduate Institute,Randy Mark Herman,"MFT,MA,, ,Marriage & Family Therapist",2000,"Relationship Issues,Depression,Life Coaching",Out of Network
20+ Years,,Julie Kyker,"LMFT,, ,Marriage & Family Therapist",,"Relationship Issues,Grief,Infidelity","Aetna,Anthem,Out of Network"
,,Jennifer Kristin Sage,"Marriage & Family Therapist Intern, ,MFTI",,"Adoption,Child or Adolescent,Parenting",
20+ Years,,Ed Callahan,"PhD,, ,Marriage & Family Therapist",,"Family Conflict,Child or Adolescent,Grief",Out of Network
,,Dr. Krista Roybal,"MD,, ,Psychiatrist",,"Addiction,Anxiety,Depression",Out of Network
10 Years,University of Phoenix,Barbara Varga,"MFT,, ,Marriage & Family Therapist",1999,"Relationship Issues,Mood Disorders,Child or Adolescent","Aetna,BlueCross and BlueShield,Cigna,Coventry,Humana,LifeSynch,MHN,MHNet Behavioral Health,Magellan Behavioral Health,Military OneSource,Multiplan,TRICARE,TriWest,UnitedHealthcare,ValueOptions,Out of Network"
30+ Years,University of Michigan,Ellen Eichler,"LCSW,Clinical Social Work/Therapist,, ",1969,"Anxiety,Divorce,Relationship Issues",
,The Wright Institute,Elizabeth (Liz) Perkins,"MFT,MA,, ,Marriage & Family Therapist",2011,"Depression,Anxiety,Life Transitions","Aetna,Anthem,Blue Cross,TRICARE,TriWest,Out of Network"
7 Years,San Diego State University,Molly Fassler,"LPCC,LMFT,MS,, ,Marriage & Family Therapist",,"Anxiety,Depression,Relationship Issues","Aetna,Any PPO plan,TRICARE,TriWest,Out of Network"
,,Eva Michelle Belanger,"MFT,MA,, ,Marriage & Family Therapist",,"Trauma and PTSD,Relationship Issues,Depression",TriWest
3 Years,National University,"Victoria Rosario, LMFT","LMFT,MA,, ,Marriage & Family Therapist",1998,"Depression,Anxiety,Trauma and PTSD","Aetna,American Behavioral,Anthem,Blue Shield,Blue Shield,Cenpatico,Ceridian,Cigna,ComPsych,FEI,Health Net,Humana,LifeSynch,MHN,Magellan Behavioral Health,Medi-Cal,Molina,Multiplan,PHCS,ValueOptions,WellPoint,Wellspring, EAP,Out of Network"
15+ Years,University of San Diego,Jennifer Patricia Jeter,"MFT,, ,Marriage & Family Therapist",1997,"Marital and Premarital,Relationship Issues,Gay","Aetna,BlueCross and BlueShield,Health Net,MHN"
15+ Years,University of Georgia,Amiee Handfinger,"Psychologist,, ,PhD",2000,"Anxiety,Depression,Family Conflict","Aetna,Anthem,Any PPO,Beech Street,Blue Care Network,BlueCross and BlueShield,Cigna,Corphealth,Coventry,First Health,GHI,Health Net,MHN,Magellan Behavioral Health,PHCS,PacifiCare,UniCare,UnitedHealthcare,WellPoint"
,,Alanya Vaene Lee,"Psychologist,BCB,, ,PhD",,"Chronic Pain,Anxiety,Life Coaching","Cigna,Medicare,TRICARE,Out of Network"
8 Years,"University of California, Santa Barbara",Francine M Martinez,"Psychologist,, ,PhD",1986,"Women's Issues,Relationship Issues,Adoption","Aetna,Anthem,BlueCross and BlueShield,California Victim Compensation Program,Cigna,GEHA,MHN,TRICARE,TriWest,UCSD Student Insurance,USD Student Insurance,Veterans Choice Program"
30+ Years,SDSU,Larry W Corrigan,Clinical Social Work/Therapist,1975,"sexual addiction,Relationship Issues,Domestic Abuse",
10+ Years,American School of Professional Psychology,Yasmin Petree,"PsyD,Psychologist,, ",2006,"Depression,Anxiety,Relationship Issues","Aetna,Anthem,BlueCross and BlueShield,LifeSynch,Multiplan,UnitedHealthcare"
8 Years,Alliant International University,Sven Schild,"Psychologist,, ,PhD",2007,"Trauma and PTSD,Mood Disorders,Anxiety","Aetna,Anthem,Blue Cross,Humana,Medicare,TRICARE,TriWest,Out of Network"
15+ Years,California School of Professional Psychology,Wayne Allen Bardwell,"Psychologist,F-APOS,MBA,, ,PhD",1997,"Depression,Life Coaching,Men's Issues","MHN,TRICARE,Out of Network"
,Antioch University Los Angeles,Mary L Obata,"LMFT,MA,, ,Marriage & Family Therapist",1993,"Anxiety,Depression,Trauma and PTSD","Aetna,Blue Shield,Cigna,PPO's,TRICARE,Out of Network"
7 Years,California School of Professional Psychology,Patricia Lazalde,"Psychologist,, ,PhD",1990,"Relationship Issues,Depression,Anxiety","Aetna,BlueCross and BlueShield,TRICARE"
15+ Years,"SDSU, MS in Marriage & Family Therapy",Yvette A Aguayo,"LMFT,MS,, ,Marriage & Family Therapist",2003,"Gambling,Relationship Issues,Trauma and PTSD","Office of Problem Gambling,TRICARE,TriWest,UnitedHealthcare for Active & Retired Military"
,Pacifica Graduate Institute,Jerry Moreau,"LMFT,MA,, ,Marriage & Family Therapist",2009,"Depression,Child or Adolescent,Life Coaching",
15+ Years,Argosy University,Dr. Stephanie Byrd,"PsyD,Psychologist,, ",2009,"Relationship Issues,Anxiety,Marital and Premarital","Blue Shield,TRICARE,TriWest,Out of Network"
,,Michelle Lynn Slater,"Marriage & Family Therapist Intern, ,MA,, ,IMF",,"Relationship Issues,Addiction,Family Conflict",
10 Years,Illinois School of Professional Psychology,Rafael M. Reyes,"PsyD,Psychologist,, ",2002,"Child or Adolescent,Depression,Anxiety","Aetna,BlueCross and BlueShield,Corphealth,PacifiCare,TRICARE,TriWest,UnitedHealthcare"
20+ Years,California School of Professional Psychology,John McConnell,"Psychologist,, ,PhD",1988,"Relationship Issues,Sex Therapy,Depression","First Session is $120.00,Ohio Workers Comp,Victims Compensation,Out of Network"
10 Years,San Diego State University,Johnny L Guinn,"LMFT,MS,, ,Marriage & Family Therapist",2005,"Relationship Issues,Anger Management,Substance Abuse","Anthem,Beacon,Blue Cross,Blue Shield,Blue Shield of California,BlueCross and BlueShield,Ceridian,Cigna,ComPsych,ESPYR,GEHA,MHN,MHNet Behavioral Health,Magellan Behavioral Health,Medi-Cal,Military OneSource,Multiplan,Prime Health Csre,TRICARE,TriWest,U.S. Department of Transportation--DOT/SAP,ValueOptions,Wellspring EAP,Out of Network"
16 Years,Uniformed Services University of Health Sciences,Ruchira S Densert,"MD,, ,Psychiatrist",1997,"Medication Management,Mood Disorders,Anxiety","Call the clinic to verify your insurance.,Major insurances are accepted.,Out of Network"
8 Years,Pacifica Graduate Institute,Jaclyn D. Deilgat,"Psychologist,, ,PhD",2014,"Depression,Addiction,Anxiety",
,,Courtney Salamone,"LMFT,, ,Marriage & Family Therapist",,"Anxiety,Depression,Relationship Issues",
10 Years,Missouri State University,Erica Petree,"LCSW,Clinical Social Work/Therapist,, ",2005,"Child or Adolescent,Trauma and PTSD,Family Conflict","Provide Super Bill,Out of Network"
20+ Years,UCLA,Rochelle T Bastien,"Psychologist,, ,PhD",1982,"Relationship Issues,Trauma and PTSD,Spirituality","Aetna,BlueCross and BlueShield,Health Net,MHN,Magellan Behavioral Health,Many other plans,Plan Handlers,TRICARE,TriWest,UnitedHealthcare,Out of Network"
7 Years,San Diego State University,Gema MÌÁrtir,"is,LMFT,MS,, ,Marriage & Family Therapist",2013,"Immigrant & Refugees Mental Health,Sexual Abuse,Trauma and PTSD",
,,Lydia Stanton,"LCSW,Clinical Social Work/Therapist,, ",,,"Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Optum,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Out of Network"
,,Achieve TMS: Free Consultation,Psychiatrist,,"Depression,Anxiety,Mood Disorders","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Check,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
,Florida State University,Pacific Psychological Associates,"Psychologist,, ,PhD",,"Trauma and PTSD,Anxiety,Gay","Aetna,Anthem,Blue Cross,Cigna,Humana,MHNet Behavioral Health,Medicare,TRICARE,TriWest,Out of Network"
3 Years,California School of Professional Psychology,Michael Lembaris,"PsyD,Psychologist,, ",2014,"Anxiety,Depression,Child or Adolescent","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,Medicare,PacifiCare,TRICARE,Out of Network"
10+ Years,San Diego State University,Integrative Counseling for Mind-Body Wellness,"LCSW,Clinical Social Work/Therapist,, ",2002,"Mood Disorders,Relationship Issues,Anxiety","Cigna,Kaiser,Kaiser - Out of Network,Please inquire,TRICARE,Out of Network"
20+ Years,Professional School of Psychological Studies,Lorri A Hilbert,"PhD,, ,Marriage & Family Therapist",1985,"Anxiety,Family Conflict,Relationship Issues","Aetna,Great-West Life,Out of Network"
20+ Years,California School of Professional Psychology-SD,Ellen Colangelo,"Psychologist,, ,PhD",1992,"Spirituality,Relationship Issues,Grief","Medicare,TRICARE,Out of Network"
,,Oria Health and Wellness Inc,"LMFT,, ,Marriage & Family Therapist",,"Anxiety,Depression,Trauma and PTSD",Out of Network
3 Years,Argosy University,Dante' Cooper,"Marriage & Family Therapist Intern, ,MA,, ,IMF",2014,"Bisexual,Depression,Transgender",
9 Years,Alliant International University - CSPP,Daniel Maccia,"PsyD,Psychologist,, ",,,"Aetna,Any PPO,BlueCross and BlueShield,Out of Network"
10+ Years,Chapman University SD,Raphaella Croccia,"LMFT,RPT,, ,Marriage & Family Therapist",2007,"Child or Adolescent,Parenting,Divorce","Aetna,MHN,Out of network with Anthem,TRICARE,VOC - Victims of Crime provider"
6 Years,Hope International University,Center for Family Unity,"MA,, ,LMFT,RPT-S,MBA,Marriage & Family Therapist",2008,"Family Conflict,Child or Adolescent,Relationship Issues","Aetna,Blue Shield,ComPsych,Concern EAP,TRICARE,TriWest,Out of Network"
6 Years,,Diega Molina,"LMFT,MS,, ,Marriage & Family Therapist",,"Child or Adolescent,Trauma and PTSD,Parenting",Out of Network
8 Years,California School of Professional Psychology,Debra Cha,"Psychologist,, ,PhD",2007,"Child or Adolescent,Developmental Disorders,Mood Disorders","Aetna,Cigna,TRICARE,Out of Network"
10+ Years,Bethel University,Jennifer Costanza,"MFT,MA,, ,Marriage & Family Therapist",2005,"Trauma and PTSD,Anxiety,Self Esteem",Cigna
10+ Years,John F. Kennedy University,Kristin Zeising,"PsyD,Psychologist,, ",2001,"Relationship Issues,Sex Therapy,Codependency","Aetna,Anthem,Blue Cross,Cigna,Out of Network"
8 Years,Pacific University,Abigail R Hitchen,"PsyD,Psychologist,, ",2010,"Anxiety,Child or Adolescent,Women's Issues","Aetna,Anthem Blue Cross (PPO only),Blue Shield,Blue Shield of California,Cigna,GEHA,Health Net,Healthnet (PPO only),Magellan Behavioral Health,Meritain Health,Optum Healthcare (PPO only),United Health Care (PPO only),Out of Network"
20+ Years,SDSU,Hilary Stokes,"LCSW,Clinical Social Work/Therapist,, ,PhD",1995,"Trauma and PTSD,Anxiety,Depression",Out of Network
30+ Years,Union Institute and University,Paul Standal,"Psychologist,, ,PhD",1993,"Relationship Issues,Depression,Anxiety","Aetna,Magellan Behavioral Health,Medicare,Optum,TRICARE,TriWest,Out of Network"
9 Years,National University,James Staunton,"MFT,MA,, ,Marriage & Family Therapist",2000,"Depression,Self Esteem,Anxiety","Aetna,Behavioral Health Systems,Blue Shield,BlueCross and BlueShield,Cigna,Corphealth,Coventry,ESI,First Health,Humana,LifeSynch,MHN,Magellan Behavioral Health,MediCal,Molina,TRICARE,TriWest,Out of Network"
8 Years,Columbia University,Vanessa Weinbach,"Psychologist,MS,, ,PhD",2007,"Relationship Issues,Depression,Anxiety","Aetna,Blue Care Network,Blue Cross,BlueCross and BlueShield,Empire BlueCross,PPO,Pacific Foundation for Medical Care/SHIP,Out of Network"
15+ Years,Oral Roberts University,Iren Fellegvari,"PsyD,Psychologist,LADC,, ,LMFT",2002,"Depression,Family Conflict,Anxiety","Aetna,BlueCross and BlueShield,ComPsych,MHN,Magellan Behavioral Health,Medicare,Multiplan,TRICARE,TriWest,UnitedHealthcare,Out of Network"
20+ Years,Washington University in St. Louis,Barbara Huff-McTyer,"LCSW,Clinical Social Work/Therapist,, ",1978,,"APS Healthcare,Aetna,Anthem,Ceridian,Concern EAP,Health Net,MHN,MHNet Behavioral Health,Optum,TRICARE,TriWest,UnitedHealthcare,ValueOptions,WellPoint,Workplace Solutions EAP,Out of Network"
,San Diego State University,Building Point Counseling,"LMFT,, ,Marriage & Family Therapist",2010,"Relationship Issues,Family Conflict,Coping Skills",
,JOHN F. KENNEDY UNIVERSITY,Leslie Rennick,"LMFT,MA,, ,Marriage & Family Therapist",1994,,"APS Healthcare,Aetna,Anthem,BlueCross and BlueShield,CHIPA,Cigna,Magellan Behavioral Health,Military OneSource,ValueOptions"
15+ Years,Pacific Graduate School Psychology,Alpha Theta Center,"Psychologist,, ,PhD",1997,"Trauma and PTSD,Traumatic Brain Injury,Drug Abuse",
,,Judy K Baron,"NCCC, ,, ,Marriage & Family Therapist,MFCC, ,MCC,PhD,RPCC, ",,"Career Counseling,Relationship Issues,Self Esteem",
6 Years,California Institute of Integral Studies,Alan Bisarya,"LMFT,EdM, ,, ,Marriage & Family Therapist",2011,"Depression,Men's Issues,Racial Identity",Out of Network
20+ Years,University for Humanistic Studies,Julie B Lalor,"Psychologist,, ,PhD",1995,"Depression,Bipolar Disorder,Anxiety","Aetna,Blue Shield,BlueCross and BlueShield,Cigna,Humana,Magellan Behavioral Health,Medicare,TRICARE,TriWest"
8 Years,California School of Professional Psychology,Stephen Brewer,"PsyD,Psychologist,, ",2012,"Testing and Evaluation,Trauma and PTSD,Chronic Relapse",Out of Network
20+ Years,,Accurate Assessments of San Diego,"Psychologist,, ,PhD",,"Testing and Evaluation,Developmental Disorders,Emotional Disturbance","All PPOs,Anthem,Blue Cross,Empire BlueCross,TRICARE,TriWest,Out of Network"
10+ Years,San Diego State University,Aileen Cunanan-Dwight,"MSW,LCSW,Clinical Social Work/Therapist,, ",2003,"Depression,Men's Issues,Child or Adolescent","ACI Specialty Benefits,Aetna,Cigna,Out of Network"
5 Years,San Diego University for Integrative Studies,Miriam Brinkmann,"PhD,MFT,, ,Marriage & Family Therapist",2011,,Cigna
20+ Years,San Diego State University,Lisa Graff-Marsh,"LCSW,Clinical Social Work/Therapist,, ",1988,"Marital and Premarital,Mood Disorders,Relationship Issues","APS Healthcare,Aetna,American Behavioral,Cigna,First Health,Health Net,Humana,MHN,Medicare,Multiplan,TriWest,WPS,Out of Network"
15+ Years,San Diego Universitu For integrative Studies,Alicia Duek,"FAMI,, ,PhD",2005,"Trauma,Emotional Disturbance,Depression",
3 Years,University of Phoenix,Jenifer Woods,"Marriage & Family Therapist Registered Intern, ,, ,MS,IMF",2013,"Mood Disorders,Thinking Disorders,Marital and Premarital",
7 Years,Southern California Seminary,Julie Sonye,"Marriage & Family Therapist Intern, ,IMF",2010,"Behavioral Issues,Borderline Personality,Relationship Issues","Blue Shield,Cigna,MHN,Magellan Behavioral Health,TRICARE,TriWest"
8 Years,University of San Diego,Kimberly Panganiban,"LMFT,MA,, ,Marriage & Family Therapist",2007,"Marital and Premarital,Relationship Issues,Parenting",Out of Network
30+ Years,Loyola Marymount University,Kate Webb,"ATR-BC,LMFT,MA,, ,Marriage & Family Therapist",1985,"Trauma and PTSD,Family Conflict,Child or Adolescent","Cigna,TriWest,Out of Network"
30+ Years,Ryokan College,Monica Grace Cashiotta-Munn,"RN-BC,, ,EdD,LMFT,Marriage & Family Therapist,PsyD",2014,"Child or Adolescent,Peer Relationships,Emotional Disturbance","Cigna,TRICARE,TriWest"
